Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,Antigua and Barbuda,ATG,Canada,CAN,-,-,-,6
2015,Egypt,EGY,Austria,AUT,-,-,-,5
2015,Egypt,EGY,Belgium,BEL,-,-,-,5
2015,Egypt,EGY,France,FRA,-,-,-,5
2015,Egypt,EGY,Ireland,IRL,-,-,-,10
2015,Argentina,ARG,Canada,CAN,-,-,-,15
2015,Armenia,ARM,Argentina,ARG,-,-,-,35
2015,Armenia,ARM,Austria,AUT,-,-,-,37
2015,Armenia,ARM,Belgium,BEL,-,-,-,5
2015,Armenia,ARM,France,FRA,-,-,-,104
2015,Armenia,ARM,Rep. of Moldova,MDA,-,-,-,5
2015,Azerbaijan,AZE,Armenia,ARM,-,-,-,53
2015,Azerbaijan,AZE,Austria,AUT,-,-,-,26
2015,Azerbaijan,AZE,Belgium,BEL,-,-,-,5
2015,Azerbaijan,AZE,Canada,CAN,-,-,-,33
2015,Azerbaijan,AZE,France,FRA,-,-,-,63
2015,Azerbaijan,AZE,Rep. of Moldova,MDA,-,-,-,5
2015,Azerbaijan,AZE,Turkmenistan,TKM,-,-,-,8
2015,Burundi,BDI,Austria,AUT,-,-,-,5
2015,Burundi,BDI,Belgium,BEL,-,-,-,20
2015,Burundi,BDI,France,FRA,-,-,-,5
2015,Benin,BEN,Canada,CAN,-,-,-,9
2015,Bangladesh,BGD,Belgium,BEL,-,-,-,5
2015,Bangladesh,BGD,Canada,CAN,-,-,-,97
2015,Bangladesh,BGD,France,FRA,-,-,-,88
2015,Bangladesh,BGD,Rep. of Korea,KOR,-,-,-,5
2015,Bhutan,BTN,France,FRA,-,-,-,5
2015,Burkina Faso,BFA,Belgium,BEL,-,-,-,8
2015,Belarus,BLR,Austria,AUT,-,-,-,45
